stv	h1tg000056l	h1tg000789l	h2tg000029l
S1C10H1L.1-8	415.0	13.0	1618.0
S1C10H1L.1-2_5-8	1464.0	0.0	0.0
S1C10H1L.7-8	5.0	0.0	64.0
S1C10H1L.1-2_5_6/8	59.0	0.0	0.0
S1C10H1L.1_6-8	53.0	0.0	1.0
S1C10H1L.1-5_6/8	43.0	0.0	2.0
S1C10H1L.1-3_4/2/4_5-6	35.0	0.0	0.0
S1C10H1L.6_7/5	33.0	0.0	0.0
S1C10H1L.1_6/2/4_5-8	30.0	0.0	0.0
S1C10H1L.1-2_5_6/2/4_5_6/8	27.0	0.0	0.0
S1C10H1L.1-5_7-8	22.0	0.0	3.0
S1C10H1L.1_2/6_7-8	21.0	0.0	0.0
S1C10H1L.1-5_6/2/4_5_6/8	19.0	0.0	0.0
S1C10H1L.1-3_4/2/4_5_6/8	14.0	0.0	0.0
S1C10H1L.1-3_4/2/4_5-8	12.0	0.0	0.0
S1C10H1L.1-6	2.0	0.0	10.0
S1C10H1L.1/5_6-8	9.0	0.0	0.0
S1C10H1L.1-5_6/2/4_5-8	8.0	0.0	1.0
S1C10H1L.1_4-8	5.0	0.0	4.0
S1C10H1L.1-3_4/6_7-8	7.0	0.0	0.0
S1C10H1L.1-5	7.0	0.0	0.0
S1C10H1L.6-8	7.0	0.0	0.0
S1C10H1L.8	0.0	0.0	7.0
S1C10H1L.1-5_2-8	0.0	0.0	7.0
S1C10H1L.6	6.0	0.0	1.0
S1C10H1L.2-8	3.0	0.0	3.0
S1C10H1L.1_2/8	5.0	0.0	1.0
S1C10H1L.1-2_5-6	6.0	0.0	0.0
S1C10H1L.1-4	6.0	0.0	0.0
S1C10H1L.1-5_8	0.0	0.0	5.0
S1C10H1L.1-2_3/5_6-8	4.0	0.0	0.0
S1C10H1L.1-3_4/2/4_3-8	0.0	0.0	4.0
S1C10H1L.1-2_5_6/2/4_5-8	4.0	0.0	0.0
S1C10H1L.1-3_5_7-8	3.0	0.0	0.0
S1C10H1L.1-2_5_6/2/4_3-8	3.0	0.0	0.0
S1C10H1L.7/5	0.0	0.0	3.0
S1C10H1L.5	3.0	0.0	0.0
S1C10H1L.1-2_4/6_7-8	0.0	0.0	2.0
S1C10H1L.1_4/6_6/8_8	0.0	0.0	2.0
S1C10H1L.1-3_5_2-6	0.0	0.0	2.0
S1C10H1L.5-6_7/5	2.0	0.0	0.0
S1C10H1L.1_2/4_5-8	1.0	0.0	1.0
S1C10H1L.5-8	2.0	0.0	0.0
S1C10H1L.1-2_3/5_2_5-8	2.0	0.0	0.0
S1C10H1L.1-2_5_6/2/4_3-5_6/2/4_5_6/8	2.0	0.0	0.0
S1C10H1L.1-7_8/2_3_4/6_7-8	2.0	0.0	0.0
S1C10H1L.1-5_2_5-8	2.0	0.0	0.0
S1C10H1L.1-5_2_5_6/8	2.0	0.0	0.0
S1C10H1L.1-7_8/2_5_6/8	2.0	0.0	0.0
S1C10H1L.1_2/4_5_6/8	1.0	0.0	0.0
S1C10H1L.3-5	1.0	0.0	0.0
S1C10H1L.1-5_7_8/2_3-8	1.0	0.0	0.0
S1C10H1L.1_5-8	1.0	0.0	0.0
S1C10H1L.1_6_8	0.0	0.0	1.0
S1C10H1L.1-4_6	1.0	0.0	0.0
S1C10H1L.4-8	0.0	1.0	0.0
S1C10H1L.1-5_6/2/4_3-8	0.0	0.0	1.0
S1C10H1L.1-5_6/2/4_3_4/2/4_3-8	0.0	0.0	1.0
S1C10H1L.1_4/2/4_5-8	1.0	0.0	0.0
S1C10H1L.1-2_5_2/6_7-8	1.0	0.0	0.0
S1C10H1L.5_2	1.0	0.0	0.0
S1C10H1L.1-2_5_2_5-8	1.0	0.0	0.0
S1C10H1L.1-5_2_5-7_6/8	1.0	0.0	0.0
S1C10H1L.1	1.0	0.0	0.0
S1C10H1L.5_7-8	1.0	0.0	0.0
S1C10H1L.1-3_2-8	1.0	0.0	0.0
S1C10H1L.1-2_5_6/2/4_5_6/2/4_5_6/8	1.0	0.0	0.0
S1C10H1L.1-2_5-7_8/2_3-8	1.0	0.0	0.0
S1C10H1L.1-2_5_6/2/4_3-5_6/8	1.0	0.0	0.0
S1C10H1L.1-7_8/2_5-8	1.0	0.0	0.0
S1C10H1L.1-3_5-8	1.0	0.0	0.0
S1C10H1L.1-2_5_6/2/4_3-5_2_5-7_6/8	1.0	0.0	0.0
S1C10H1L.1_6/2/4_6-8	1.0	0.0	0.0
S1C10H1L.1-2_5_4/6_7-8	1.0	0.0	0.0
S1C10H1L.1-5_2-3_4/8	1.0	0.0	0.0
S1C10H1L.1-2_5_3-8	1.0	0.0	0.0
S1C10H1L.1_8	1.0	0.0	0.0
S1C10H1L.1-5_2/6_7-8	1.0	0.0	0.0
S1C10H1L.1-2_5_4-8	1.0	0.0	0.0
S1C10H1L.6/2/4_5_6/8	1.0	0.0	0.0
S1C10H1L.1-2_5_8	1.0	0.0	0.0
S1C10H1L.3-8	0.0	0.0	1.0
